Instance_ID,Position_Part_1_x,Position_Part_1_y,Position_Part_1_z,Anonymous_F1_Part_1,Anonymous_F2_Part_1,Anonymous_F3_Part_1,Anonymous_F4_Part_1,Anonymous_F5_Part_1,Anonymous_F6_Part_1,Position_Part_2_x,Position_Part_2_y,Position_Part_2_z,Anonymous_F1_Part_2,Anonymous_F2_Part_2,Anonymous_F3_Part_2,Anonymous_F4_Part_2,Anonymous_F5_Part_2,Anonymous_F6_Part_2,Position_Part_3_x,Position_Part_3_y,Position_Part_3_z,Anonymous_F1_Part_3,Anonymous_F2_Part_3,Anonymous_F3_Part_3,Anonymous_F4_Part_3,Anonymous_F5_Part_3,Anonymous_F6_Part_3,Position_Part_4_x,Position_Part_4_y,Position_Part_4_z,Anonymous_F1_Part_4,Anonymous_F2_Part_4,Anonymous_F3_Part_4,Anonymous_F4_Part_4,Anonymous_F5_Part_4,Anonymous_F6_Part_4,Anonymous_W1,Anonymous_W2,Anonymous_W3,Anonymous_W4,Anonymous_W5,Anonymous_W6,Anonymous_W7,Anonymous_W8,Anonymous_W9,Anonymous_W10,Action
AR2375,1.3778569999999999,3.617222,2.205731,0.00010888,-0.00029291,4.76e-06,-0.0003912,-9.18e-05,6.57e-06,3.301057,2.420773,2.1240669999999997,0.00315514,-0.03504419,-0.00155534,0.00028606,-0.00198388,9.223e-05,1.394919,3.567775,2.2787439999999997,0.00069175,-2.747e-05,0.00011357,-0.00032777,-0.00015636,-6.26e-06,3.4721260000000003,2.767451,2.2073669999999996,-0.00053127,-0.03548637,-0.00363337,-0.00088545,-0.00408576,-0.00047751,2.253502,0.9508177999999999,2.34616,2.454801,3.437261,2.407838,52.95514044060061,2.0,127.50944123816531,2.2993643148313843,Other_Action
AR2731,4.0161760000000015,4.4241150000000005,1.6468450000000001,0.00246329,-0.01153439,0.00061096,0.00010934,-0.0019785,1.965e-05,5.131355,4.284959,1.756906,0.00298141,0.01982823,0.00059345,-0.00178308,0.00035986,-0.00075981,3.9290339999999997,4.315021,1.7084759999999999,0.00357534,-0.00742904,-0.00107144,0.00024818,-0.00126706,-5.12e-05,5.552154,4.657630999999999,1.894123,-0.00091094,0.00305963,-6.879999999999999e-05,-0.00016558,-0.00010654,-0.00017845,4.5141,1.787514,1.956207,4.529813,4.146509,1.956307,88.49296929072818,3.0,180.5225088659335,2.971618080894649,Action_1
AR4074,3.861532,5.079124,1.8375400000000002,-0.00117543,0.00179877,0.00070169,-0.00050641,0.00036679,0.00023824,5.6787480000000015,5.53471,1.685356,0.00554062,-0.00028347,-0.00051728,0.00067507,0.00031006,4.263e-05,3.67153,4.934926,1.87169,-0.00117811,0.00179667,0.00070218,-0.0005102,0.00036389,0.00023892,5.641565,5.169853,1.704722,0.00149698,0.00106551,9.386e-05,0.0002656,0.00051652,-3.081e-05,4.536565,1.920333,1.9522389999999998,4.5416620000000005,4.214273,1.97944,88.7559892257673,3.0,181.3657111630317,2.9759803626763066,Action_1
AR1608,4.75539,4.914315,2.274852,-0.01912216,0.01362397,-0.016509400000000004,0.00136275,-0.00042237,0.00366981,4.661872,4.901132,2.221166,0.00248542,0.01822826,0.00210888,0.00015366,-0.00097854,0.00135368,4.728708,4.89415,2.290654,-0.01426269,0.02246576,-0.01855744,0.00277892,-4.425e-05,0.00092033,4.695354,4.904607,2.261549,0.01305861,0.02078167,0.01499695,0.00114953,-0.00104798,-0.00273746,4.680795,4.691525,2.589918,4.689303,4.955184,2.59795,121.46111584006752,6.0,337.82169982987597,3.4817919559919135,Other_Action
AR2395,1.358973,5.089811,2.289148,3.011e-05,-0.00013641,-9.743e-05,-2.55e-06,1.73e-06,-3.2e-07,3.7988120000000003,3.8666129999999996,2.160568,7.083e-05,2.889e-05,-2.374e-05,4.37e-06,-6.4e-07,5.1e-07,1.35846,4.6800489999999995,2.307718,-3.563e-05,-0.00013092,-6.713e-05,-3.53e-06,6.2e-07,-3.7e-07,3.61206,3.715489,2.244128,2.664e-05,2.55e-05,-1.307e-05,9.59e-06,2.47e-06,6e-07,2.422732,0.9049582,2.369225,2.442173,3.431435,2.409621,57.483773806082546,2.0,139.29729923673293,2.3958291305308066,Other_Action
AR2355,4.482164,5.564342,1.668865,0.00055926,0.00156319,2.26e-05,-4.821e-05,-0.00016707,6.58e-06,6.922447,5.427079,1.644232,0.00012949,-0.0015787000000000002,0.00011898,-1.183e-05,-1.214e-05,6.2e-07,4.543787,5.222167,1.673157,-3.411e-05,-0.00030015,4.192e-05,-3.878e-05,-2.22e-06,1.208e-05,6.609624,5.192029,1.643803,0.00012655,-0.0016035,0.00013645,-9.87e-06,-1.412e-05,-6.5e-07,5.538349,1.4476950000000002,1.77653,5.586166,4.100619,1.7682200000000001,98.61949887406752,3.0,181.13694395795216,3.136724908080082,Other_Action
AR5838,3.815556,5.279714,1.63865,-0.00221779,-0.00434083,-0.00096962,-0.00052873,-8.6e-07,-0.00018764,6.699938,5.184754,1.514433,0.00116078,-0.00557088,-0.00067549,0.00048264,-0.00045139,-7.401e-05,4.1699589999999995,5.1143480000000014,1.6224049999999999,-0.0013795,-0.00207051,-6.099e-05,0.0011370999999999998,0.00256509,-4.657e-05,6.615832000000001,4.942080000000002,1.5435510000000001,0.00072896,-0.00315516,-0.00083059,0.00073146,0.00113348,-0.00025830000000000004,5.480086,1.410949,1.694152,5.343333,4.151536,1.6987349999999999,93.06281696381487,3.0,163.5201630525449,3.046981893131628,Other_Action
AR0465,4.494766,5.096383,2.457089,0.00207078,0.0083531,0.03999109,-0.00014856,-0.00041442,-0.0038024,4.802632,5.1189300000000015,2.510679,-0.00454536,0.0086076,0.0373096,0.00052386,0.00031827,-0.00087622,4.511837,5.059759,2.5061459999999998,0.00300529,0.00752103,0.02503467,0.0001595,6.475e-05,-0.00207918,4.795711,5.080705,2.5630759999999997,-0.00305767,0.00598189,0.02396402,0.00094319,0.00036098,-0.00225817,4.672892,4.701324,2.654112,4.6680410000000006,4.969665,2.685348,124.25577331880268,7.0,353.15274437117404,3.521701113368936,Other_Action
AR6216,3.895772,2.720061,1.527614,-0.01243966,-0.02372959,0.00078812,-0.00733955,-0.01483692,0.0003744,6.835609,2.603053,1.468552,0.0013812999999999998,-0.00062862,0.00025911,-0.00168549,-0.00077586,-0.00023949,4.017883,2.9915979999999998,1.528001,-0.01238207,-0.02012741,0.00160151,-0.00630815,-0.00780929,0.00149961,6.676649,2.989307,1.489258,0.00561931,-0.00439993,0.00081334,-0.00061177,-0.0023052,0.00013591,5.693791,1.375993,1.711925,5.4668470000000005,4.08284,1.70487,97.6966341928048,3.0,172.86726975063732,3.1220735349563755,Action_2
AR1475,3.071417,2.565098,2.1585959999999997,-0.00030356,-0.00064824,-0.00018871,2.198e-05,2.5e-06,3.73e-06,2.340985,2.3811400000000003,2.0232669999999997,0.00145318,-0.00053305,-1.947e-05,8.306e-05,-2.978e-05,-1.572e-05,2.866925,2.7569369999999997,2.18874,-8.55e-05,-0.000618,-0.00014450000000000002,2.102e-05,5.8e-07,2.87e-06,2.49828,2.57412,2.0752200000000003,0.00122177,-0.0003912,1.509e-05,4.484e-05,-2.667e-05,-1.014e-05,2.469961,0.8704984,2.374164,2.4824599999999997,3.4249519999999998,2.405357,58.7259479394592,2.0,142.406446699815,2.421588835373173,Action_2
